Duration of class (min),Heart Rate (bpm),HR Rest,60% THR (bpm),70% THR (bpm),80% THR (bpm),90% THR (bpm),HR Max (bpm),,,,,,,,,
0:02:31,119,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:02:32,120,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:02:33,120,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:02:34,120,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:02:35,121,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:02:36,121,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:02:37,120,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:02:38,119,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:02:39,117,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:02:40,116,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:02:41,117,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:02:42,118,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:02:43,119,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:02:44,119,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:02:45,118,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:02:46,115,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:02:47,113,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:02:48,111,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:02:49,112,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:02:50,113,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:02:51,115,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:02:52,115,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:02:53,116,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:02:54,116,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:02:55,116,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:02:56,118,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:02:57,119,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:02:58,120,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:02:59,121,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:03:00,122,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:03:01,123,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:03:02,123,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:03:03,124,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:03:04,123,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:03:05,122,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:03:06,122,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:03:07,123,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:03:08,123,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:03:09,125,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:03:10,125,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:03:11,124,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:03:12,123,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:03:13,122,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:03:14,120,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:03:15,117,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:03:16,115,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:03:17,114,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:03:18,114,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:03:19,115,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:03:20,116,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:03:21,118,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:03:22,120,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:03:23,120,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:03:24,119,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:03:25,118,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:03:26,118,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:03:27,119,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:03:28,121,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:03:29,123,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:03:30,123,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:03:31,117,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:03:32,114,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:03:33,112,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:03:34,112,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:03:35,113,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:03:36,115,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:03:37,117,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:03:38,119,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:03:39,119,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:03:40,119,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:03:41,119,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:03:42,127,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:03:43,130,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:03:44,131,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:03:45,131,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:03:46,133,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:03:47,135,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:03:48,137,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:03:49,138,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:03:50,140,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:03:51,140,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:03:52,140,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:03:53,140,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:03:54,141,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:03:55,142,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:03:56,143,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:03:57,144,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:03:58,145,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:03:59,147,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:04:00,147,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:04:01,148,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:04:02,149,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:04:03,151,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:04:04,151,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:04:05,152,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:04:06,153,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:04:07,153,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:04:08,154,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:04:09,154,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:04:10,154,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:04:11,154,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:04:12,155,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:04:13,156,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:04:14,156,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:04:15,156,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:04:16,156,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:04:17,156,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:04:18,158,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:04:19,158,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:04:20,158,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:04:21,159,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:04:22,159,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:04:23,160,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:04:24,161,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:04:25,162,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:04:26,162,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:04:27,163,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:04:28,163,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:04:29,164,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:04:30,164,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:04:31,165,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:04:32,165,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:04:33,166,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:04:34,166,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:04:35,166,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:04:36,167,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:04:37,167,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:04:38,166,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:04:39,166,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:04:40,166,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:04:41,166,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:04:42,166,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:04:43,166,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:04:44,165,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:04:45,165,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:04:46,164,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:04:47,162,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:04:48,160,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:04:49,159,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:04:50,157,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:04:51,156,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:04:52,154,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:04:53,153,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:04:54,153,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:04:55,154,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:04:56,154,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:04:57,154,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:04:58,154,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:04:59,154,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:05:00,154,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:05:01,155,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:05:02,155,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:05:03,156,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:05:04,156,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:05:05,156,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:05:06,156,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:05:07,156,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:05:08,156,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:05:09,155,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:05:10,156,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:05:11,156,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:05:12,157,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:05:13,157,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:05:14,157,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:05:15,158,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:05:16,158,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:05:17,158,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:05:18,159,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
